timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,route_label,service_notes,direction_label,orientation
1,5744,,20170201,20190101,0,0,0,0,0,0,1,Blue Route,Before February 18th (Sunday only),,horizontal
2,5744,,20170201,20190101,0,0,0,0,0,1,0,Blue Route,Before February 18th (Saturday only),,horizontal
3,5744,,20170201,20190101,1,1,1,1,1,0,0,Blue Route,Before February 18th (Monday-Friday),,horizontal
4,859,0,20170101,20170916,1,1,1,1,1,0,0,Hoboken - 33rd Street,Starting Jan 1 2017 (Monday-Friday),Outbound,horizontal
5,859,1,20170101,20170916,1,1,1,1,1,0,0,Hoboken - 33rd Street,Starting Jan 1 2017 (Monday-Friday),Inbound,horizontal
6,859,0,20170917,20181225,1,1,1,1,1,0,0,Hoboken - 33rd Street,STARTING SEPT 17 2017 (Monday-Friday),Outbound,horizontal
7,859,1,20170917,20181225,1,1,1,1,1,0,0,Hoboken - 33rd Street,STARTING SEPT 17 2017 (Monday-Friday),Inbound,horizontal
8,860,0,20170101,20170916,1,1,1,1,1,0,0,Hoboken - World Trade Center,Starting Jan 1 2017 (Monday-Friday),Outbound,horizontal
9,860,1,20170101,20170916,1,1,1,1,1,0,0,Hoboken - World Trade Center,Starting Jan 1 2017 (Monday-Friday),Inbound,horizontal
10,860,0,20170917,20181225,1,1,1,1,1,0,0,Hoboken - World Trade Center,STARTING SEPT 17 2017 (Monday-Friday),Outbound,horizontal
11,860,1,20170917,20181225,1,1,1,1,1,0,0,Hoboken - World Trade Center,STARTING SEPT 17 2017 (Monday-Friday),Inbound,horizontal
12,861,0,20170101,20170916,1,1,1,1,1,0,0,Journal Square - 33rd Street,Starting Jan 1 2017 (Monday-Friday),Outbound,horizontal
13,861,1,20170101,20170916,1,1,1,1,1,0,0,Journal Square - 33rd Street,Starting Jan 1 2017 (Monday-Friday),Inbound,horizontal
14,861,0,20170917,20181225,1,1,1,1,1,0,0,Journal Square - 33rd Street,STARTING SEPT 17 2017 (Monday-Friday),Outbound,horizontal
15,861,1,20170917,20181225,1,1,1,1,1,0,0,Journal Square - 33rd Street,STARTING SEPT 17 2017 (Monday-Friday),Inbound,horizontal
